LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,health_spending_per_cap,Flag Codes,life_expect_birth,Country
AUS,HEALTHEXP,TOT,USD_CAP,A,1971,223.592,,71.6,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1972,239.1784,,72,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1973,264.0303,,72.1,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1974,322.3286,,71.9,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1975,401.8512,,72.7,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1976,430.061,,72.8,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1977,472.8991,,73.4,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1978,510.7161,,73.7,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1979,554.7626,,74.3,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1980,615.7256,,74.6,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1981,697.3706,,74.9,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1982,731.9027,,74.7,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1983,773.4711,,75.5,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1984,817.2866,,75.8,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1985,881.2391,,75.6,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1986,941.1635,,76.1,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1987,981.6215,,76.3,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1988,1039.8854,,76.3,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1989,1091.3294,,76.5,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1990,1154.0445,,77,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1991,1229.3906,,77.4,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1992,1307.222,,77.5,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1993,1381.1135,,78,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1994,1470.8096,,78,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1995,1554.7982,,77.9,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1996,1645.0156,,78.2,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1997,1730.7444,,78.5,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1998,1858.2922,D,78.7,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,1999,1986.4928,D,79,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2000,2156.808,D,79.3,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2001,2271.4553,D,79.7,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2002,2426.4793,D,80,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2003,2546.2803,D,80.3,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2004,2745.6316,D,80.6,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2005,2842.1321,D,80.9,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2006,3023.0978,D,81.1,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2007,3196.226,D,81.4,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2008,3310.1708,D,81.5,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2009,3564.4049,D,81.6,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2010,3607.3407,D,81.8,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2011,3794.0874,D,82,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2012,3807.6819,D,82.1,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2013,4176.853,D,82.2,Australia 
AUS,HEALTHEXP,TOT,USD_CAP,A,2014,4206.8516,,82.4,Australia 
